german,German
Ich,I
ist,is
ich,I
nicht,not
Sie,She
du,you
das,the
die,the
es,it
und,and
der,the
zu,to
sie,she
Das,The
ein,a
in,in
wir,we
Du,You
mir,me
mit,with
Was,What
den,the
mich,me
was,What
auf,on
dass,that
er,he
eine,one
Es,It
hat,has
Wir,We
Und,And
so,Loading...
sind,Loading...
von,Loading...
dich,Loading...
war,was
haben,Loading...
für,Loading...
Ja,Loading...
hier,Loading...
an,Loading...
habe,Loading...
Er,Loading...
bin,Loading...
wie,Loading...
noch,Loading...
dir,Loading...
uns,Loading...
sich,Loading...
Die,Loading...
nur,only
einen,Loading...
Nein,Loading...
dem,Loading...
ihn,Loading...
auch,Loading...
hast,Loading...
sein,Loading...
ihr,Loading...
da,Loading...
aus,Loading...
kann,Loading...
aber,but
Aber,But
schon,Loading...
wenn,Loading...
wird,becomes
um,Loading...
Wie,How
als,Loading...
bist,Loading...
im,Loading...
mal,Loading...
doch,Loading...
gut,Loading...
meine,Loading...
jetzt,now
weiß,Loading...
Wenn,Loading...
werden,Loading...
Der,Loading...
nach,Loading...
ja,Loading...
Oh,Loading...
oder,Loading...
dann,Loading...
will,Loading...
mein,Loading...
mehr,Loading...
keine,Loading...
etwas,Loading...
alles,Loading...
muss,Loading...
immer,Loading...
nichts,Loading...
man,Loading...
wieder,Loading...
bei,at
hab,Loading...
machen,Loading...
vor,Loading...
Mann,Loading...
ihm,Loading...
einem,Loading...
tun,Loading...
zum,Loading...
können,Loading...
sagen,Loading...
werde,Loading...
denn,Loading...
Ist,Loading...
Ein,Loading...
Warum,Loading...
einer,Loading...
gehen,Loading...
sehen,Loading...
sehr,Loading...
geht,goes
alle,Loading...
über,Loading...
müssen,Loading...
diese,Loading...
einfach,Loading...
euch,you
des,of
nie,never
Also,Loading...
Wo,Loading...
los,Loading...
Zeit,Loading...
Ihnen,Loading...
gibt,Loading...
wirklich,Loading...
Hey,Loading...
Danke,Loading...
deine,Loading...
würde,Loading...
soll,Loading...
Da,Loading...
hatte,Loading...
Hier,Loading...
wissen,Loading...
bitte,please
viel,much
Dann,Loading...
So,Loading...
gesagt,Loading...
Ihr,Loading...
am,at the
kein,Loading...
Komm,Loading...
Wer,Loading...
zurück,Loading...
wurde,Loading...
In,Loading...
wollte,wanted
Frau,Loading...
Leben,Loading...
wäre,Loading...
wo,Loading...
damit,Loading...
Nicht,Not
Gott,God
Leute,Loading...
kannst,Loading...
heute,Loading...
meinen,Loading...
dieser,Loading...
dein,Loading...
kommt,Loading...
kommen,Loading...
willst,Loading...
Na,Loading...
wollen,Loading...
sicher,Loading...
ganz,Loading...
Jetzt,Loading...
Mein,Loading...
Mr,Loading...
also,Loading...
zur,Loading...
Hast,Loading...
Gut,Loading...
hätte,Loading...
weil,Loading...
tut,Loading...
Hallo,Loading...
Okay,Loading...
macht,Loading...
waren,were
bis,Loading...
Vielleicht,Loading...
könnte,Loading...
Eine,Loading...
Bitte,Loading...
weg,Loading...
seine,Loading...
lassen,Loading...
Vater,Loading...
gesehen,Loading...
Nun,Well
gerade,straight
Alles,Loading...
glaube,Loading...
Tag,Day
ab,Loading...
Geld,Loading...
gemacht,Loading...
nein,Loading...
Sir,Loading...
sollte,Loading...
sagte,Loading...
keinen,Loading...
durch,Loading...
zwei,Loading...
diesen,Loading...
passiert,Loading...
wohl,probably
vielleicht,Loading...
ihre,Loading...
Mutter,Mother
reden,Loading...
anderen,Loading...
dachte,Loading...
daß,Loading...
möchte,Loading...
wirst,Loading...
gehört,Loading...
weißt,Loading...
Keine,No
raus,Loading...
